autor,titulo,views,ratio_interaccion,duration_time_format,duracion_seg,language
MoureDev by Brais Moure,Curso Completo de Java desde Cero para Principiantes,394458,0.75,8:48:49,31729,Java
HolaMundo,Aprende Java Ahora! curso completo desde cero para principiantes,282322,1.13,4:4:29,14669,Java
MoureDev by Brais Moure,Curso COMPLETO de JavaScript DESDE CERO para Principiantes,443260,1.07,6:20:30,22830,JavaScript
midudev,Aprendiendo Javascript y React desde cero - Bootcamp FullStack Gratuito,263404,0.92,2:6:20,7580,JavaScript
MoureDev by Brais Moure,Curso COMPLETO de PYTHON desde CERO para PRINCIPIANTES,3160091,0.74,10:7:35,36455,Python
MoureDev by Brais Moure,La forma real de aprender Python para Web desde cero,217039,1.58,5:49:25,20965,Python
midudev,Curso COMPLETO de Python DESDE CERO para Principiantes 2025,1535635,0.31,8:32:52,30772,Python
MoureDev by Brais Moure,Curso COMPLETO de SQL y BASES DE DATOS Desde Cero para PRINCIPIANTES,1740212,0.71,6:52:12,24732,SQL
TodoCode,CURSO COMPLETO de SQL y BASES DE DATOS Desde Cero (8 horas),211187,2.2,8:10:48,29448,SQL
MoureDev by Brais Moure,Curso de C# Desde Cero: Primeros Pasos en una hora,289576,0.64,1:21:40,4900,C#
hdeleon.net,CURSO DE C# .NET GRATIS (Intensivo),195127,1.11,1:16:36,4596,C#
hdeleon.net,Aprende ASP .NET GRATIS,293532,1.34,1:5:32,3932,C#
midudev,⚛️ REACT + TYPESCRIPT: Creando un proyecto desde cero y paso a paso (Tutorial en español),151648,1.15,1:46:32,6392,TypeScript
midulive,De Novato a Ninja: Aprende TypeScript - curso intensivo (#1),288443,0.79,1:42:32,6152,TypeScript
MoureDev by Brais Moure,Curso de TYPESCRIPT Desde Cero: Primeros Pasos en una hora,64474,0.98,1:8:47,4127,TypeScript
midulive,Aprende PHP 8 desde cero: Curso para principiantes + Aplicación con Deploy,269711,1.98,1:24:1,5041,PHP
midulive,"CURSO de PHP: Aprende Funciones, Clases, Imports y más",60988,4.26,1:35:41,5741,PHP
MoureDev by Brais Moure,Curso de PHP Desde Cero: Primeros Pasos en una hora,240446,0.77,1:12:8,4328,PHP
hdeleon.net,"Aprende PHP GRATIS, curso desde CERO",29319,7.4,1:8:0,4080,PHP
midudev,"Curso Inteligencia Artificial para Programadores en 2026 (Conceptos, Herramientas, Claude Code)",429350,0.96,1:39:57,5997,IA
MoureDev by Brais Moure,Curso de Desarrollo con IA 2026 - Día 1 - Aprende a usar la IA como un programador profesional,468846,2.43,1:34:14,5654,IA
MoureDev by Brais Moure,Curso de Desarrollo con Inteligencia Artificial 2026: De cero a producción,27103,1.81,3:18:52,11932,IA
