Year,Trends,Uso_pct,Deseo_pct
2021-04-01,5,,
2021-05-01,6,,
2021-06-01,5,22.81,17.2
2021-07-01,5,22.779999999999998,17.175833333333333
2021-08-01,5,22.75,17.151666666666667
2021-09-01,6,22.72,17.127499999999998
2021-10-01,8,22.689999999999998,17.10333333333333
2021-11-01,8,22.66,17.079166666666666
2021-12-01,5,22.63,17.055
2022-01-01,5,22.599999999999998,17.030833333333334
2022-02-01,6,22.57,17.006666666666668
2022-03-01,7,22.54,16.9825
2022-04-01,6,22.509999999999998,16.958333333333332
2022-05-01,7,22.48,16.934166666666666
2022-06-01,6,22.45,16.91
2022-07-01,5,22.381666666666668,16.805
2022-08-01,5,22.313333333333333,16.7
2022-09-01,6,22.244999999999997,16.595
2022-10-01,8,22.176666666666666,16.490000000000002
2022-11-01,9,22.108333333333334,16.385
2022-12-01,6,22.04,16.28
2023-01-01,6,21.971666666666664,16.175
2023-02-01,7,21.903333333333332,16.07
2023-03-01,7,21.835,15.965
2023-04-01,7,21.766666666666666,15.86
2023-05-01,7,21.69833333333333,15.755
2023-06-01,5,21.63,15.65
2023-07-01,5,21.779999999999998,15.728333333333333
2023-08-01,6,21.93,15.806666666666667
2023-09-01,7,22.08,15.885
2023-10-01,7,22.23,15.963333333333333
2023-11-01,7,22.38,16.041666666666668
2023-12-01,5,22.53,16.12
2024-01-01,7,22.68,16.198333333333334
2024-02-01,6,22.83,16.276666666666667
2024-03-01,6,22.98,16.355
2024-04-01,6,23.13,16.433333333333334
2024-05-01,6,23.28,16.511666666666667
2024-06-01,4,23.43,16.59
2024-07-01,3,23.345,16.500833333333333
2024-08-01,4,23.259999999999998,16.411666666666665
2024-09-01,4,23.175,16.322499999999998
2024-10-01,6,23.09,16.233333333333334
2024-11-01,5,23.005,16.144166666666667
2024-12-01,4,22.92,16.055
2025-01-01,5,22.835,15.965833333333332
2025-02-01,4,22.75,15.876666666666667
2025-03-01,4,22.665,15.7875
2025-04-01,4,22.58,15.698333333333332
2025-05-01,4,22.495,15.609166666666667
2025-06-01,3,22.41,15.52
2025-07-01,2,22.41,15.52
2025-08-01,2,22.41,15.52
2025-09-01,3,22.41,15.52
2025-10-01,3,22.41,15.52
2025-11-01,3,22.41,15.52
2025-12-01,3,22.41,15.52
2026-01-01,3,22.41,15.52
2026-02-01,3,22.41,15.52
2026-03-01,2,22.41,15.52
