Time,Google_Trends,evo_uso,evo_deseo
2021-04-01,16,,
2021-05-01,16,,
2021-06-01,15,914.0,618.0
2021-07-01,14,914.0,618.0
2021-08-01,11,914.0,618.0
2021-09-01,15,914.0,618.0
2021-10-01,18,914.0,618.0
2021-11-01,18,914.0,618.0
2021-12-01,14,914.0,618.0
2022-01-01,15,914.0,618.0
2022-02-01,22,914.0,618.0
2022-03-01,18,914.0,618.0
2022-04-01,20,914.0,618.0
2022-05-01,24,914.0,618.0
2022-06-01,23,891.0,620.0
2022-07-01,19,891.0,620.0
2022-08-01,19,891.0,620.0
2022-09-01,23,891.0,620.0
2022-10-01,27,891.0,620.0
2022-11-01,30,891.0,620.0
2022-12-01,24,891.0,620.0
2023-01-01,29,891.0,620.0
2023-02-01,34,891.0,620.0
2023-03-01,33,891.0,620.0
2023-04-01,30,891.0,620.0
2023-05-01,29,891.0,620.0
2023-06-01,28,914.0,545.0
2023-07-01,24,914.0,545.0
2023-08-01,23,914.0,545.0
2023-09-01,28,914.0,545.0
2023-10-01,31,914.0,545.0
2023-11-01,31,914.0,545.0
2023-12-01,26,914.0,545.0
2024-01-01,31,914.0,545.0
2024-02-01,33,914.0,545.0
2024-03-01,31,914.0,545.0
2024-04-01,35,914.0,545.0
2024-05-01,28,914.0,545.0
2024-06-01,23,567.0,364.0
2024-07-01,19,567.0,364.0
2024-08-01,19,567.0,364.0
2024-09-01,22,567.0,364.0
2024-10-01,24,567.0,364.0
2024-11-01,21,567.0,364.0
2024-12-01,19,567.0,364.0
2025-01-01,21,567.0,364.0
2025-02-01,27,567.0,364.0
2025-03-01,21,567.0,364.0
2025-04-01,16,567.0,364.0
2025-05-01,16,567.0,364.0
2025-06-01,13,355.0,173.0
2025-07-01,12,355.0,173.0
2025-08-01,11,355.0,173.0
2025-09-01,12,355.0,173.0
2025-10-01,13,355.0,173.0
2025-11-01,14,355.0,173.0
2025-12-01,12,355.0,173.0
2026-01-01,13,355.0,173.0
2026-02-01,13,355.0,173.0
2026-03-01,12,355.0,173.0
