Year,Trends,Uso_pct,Deseo_pct
2021-04-01,16,,
2021-05-01,16,,
2021-06-01,15,64.96,43.92
2021-07-01,14,64.95833333333333,44.02583333333334
2021-08-01,11,64.95666666666666,44.13166666666667
2021-09-01,15,64.955,44.2375
2021-10-01,18,64.95333333333333,44.343333333333334
2021-11-01,18,64.95166666666667,44.44916666666667
2021-12-01,14,64.94999999999999,44.555
2022-01-01,15,64.94833333333332,44.66083333333333
2022-02-01,22,64.94666666666666,44.766666666666666
2022-03-01,18,64.945,44.8725
2022-04-01,20,64.94333333333333,44.97833333333333
2022-05-01,24,64.94166666666666,45.08416666666666
2022-06-01,23,64.94,45.19
2022-07-01,19,64.71,44.51333333333333
2022-08-01,19,64.48,43.836666666666666
2022-09-01,23,64.25,43.16
2022-10-01,27,64.02,42.483333333333334
2022-11-01,30,63.79,41.806666666666665
2022-12-01,24,63.56,41.129999999999995
2023-01-01,29,63.33,40.45333333333333
2023-02-01,34,63.1,39.776666666666664
2023-03-01,33,62.87,39.1
2023-04-01,30,62.64,38.42333333333333
2023-05-01,29,62.41,37.74666666666667
2023-06-01,28,62.18,37.07
2023-07-01,24,62.123333333333335,37.270833333333336
2023-08-01,23,62.06666666666666,37.471666666666664
2023-09-01,28,62.01,37.6725
2023-10-01,31,61.95333333333333,37.873333333333335
2023-11-01,31,61.89666666666667,38.07416666666666
2023-12-01,26,61.84,38.275
2024-01-01,31,61.78333333333333,38.475833333333334
2024-02-01,33,61.72666666666667,38.67666666666666
2024-03-01,31,61.67,38.8775
2024-04-01,35,61.61333333333333,39.07833333333333
2024-05-01,28,61.556666666666665,39.27916666666666
2024-06-01,23,61.5,39.48
2024-07-01,19,61.475833333333334,38.67583333333333
2024-08-01,19,61.45166666666667,37.87166666666666
2024-09-01,22,61.4275,37.067499999999995
2024-10-01,24,61.403333333333336,36.26333333333333
2024-11-01,21,61.37916666666667,35.45916666666666
2024-12-01,19,61.355000000000004,34.655
2025-01-01,21,61.33083333333333,33.85083333333333
2025-02-01,27,61.306666666666665,33.04666666666667
2025-03-01,21,61.2825,32.2425
2025-04-01,16,61.25833333333333,31.438333333333333
2025-05-01,16,61.23416666666667,30.634166666666665
2025-06-01,13,61.21,29.83
2025-07-01,12,61.21,29.83
2025-08-01,11,61.21,29.83
2025-09-01,12,61.21,29.83
2025-10-01,13,61.21,29.83
2025-11-01,14,61.21,29.83
2025-12-01,12,61.21,29.83
2026-01-01,13,61.21,29.83
2026-02-01,13,61.21,29.83
2026-03-01,12,61.21,29.83
