Time,Google Trends,Uso,Deseo
2021-04-01,8,,
2021-05-01,8,,
2021-06-01,6,370.0,173.0
2021-07-01,5,370.0,173.0
2021-08-01,6,370.0,173.0
2021-09-01,7,370.0,173.0
2021-10-01,7,370.0,173.0
2021-11-01,10,370.0,173.0
2021-12-01,7,370.0,173.0
2022-01-01,7,370.0,173.0
2022-02-01,8,370.0,173.0
2022-03-01,9,370.0,173.0
2022-04-01,10,370.0,173.0
2022-05-01,9,370.0,173.0
2022-06-01,7,353.0,163.0
2022-07-01,5,353.0,163.0
2022-08-01,5,353.0,163.0
2022-09-01,7,353.0,163.0
2022-10-01,10,353.0,163.0
2022-11-01,11,353.0,163.0
2022-12-01,9,353.0,163.0
2023-01-01,10,353.0,163.0
2023-02-01,10,353.0,163.0
2023-03-01,9,353.0,163.0
2023-04-01,9,353.0,163.0
2023-05-01,9,353.0,163.0
2023-06-01,7,350.0,162.0
2023-07-01,6,350.0,162.0
2023-08-01,5,350.0,162.0
2023-09-01,7,350.0,162.0
2023-10-01,10,350.0,162.0
2023-11-01,10,350.0,162.0
2023-12-01,8,350.0,162.0
2024-01-01,9,350.0,162.0
2024-02-01,10,350.0,162.0
2024-03-01,9,350.0,162.0
2024-04-01,10,350.0,162.0
2024-05-01,9,350.0,162.0
2024-06-01,6,197.0,91.0
2024-07-01,5,197.0,91.0
2024-08-01,4,197.0,91.0
2024-09-01,6,197.0,91.0
2024-10-01,9,197.0,91.0
2024-11-01,7,197.0,91.0
2024-12-01,5,197.0,91.0
2025-01-01,7,197.0,91.0
2025-02-01,7,197.0,91.0
2025-03-01,6,197.0,91.0
2025-04-01,4,197.0,91.0
2025-05-01,4,197.0,91.0
2025-06-01,3,124.0,51.0
2025-07-01,3,124.0,51.0
2025-08-01,3,124.0,51.0
2025-09-01,3,124.0,51.0
2025-10-01,4,124.0,51.0
2025-11-01,4,124.0,51.0
2025-12-01,3,124.0,51.0
2026-01-01,4,124.0,51.0
2026-02-01,3,124.0,51.0
2026-03-01,3,124.0,51.0
