Year,Trends,Uso,Deseo
2021-04-01,0.625,,
2021-05-01,0.625,,
2021-06-01,0.375,1.0,1.0
2021-07-01,0.25,0.9942411924119241,0.9931693989071039
2021-08-01,0.375,0.9884823848238484,0.9863387978142079
2021-09-01,0.5,0.9827235772357725,0.9795081967213116
2021-10-01,0.5,0.9769647696476964,0.9726775956284154
2021-11-01,0.875,0.9712059620596207,0.9658469945355194
2021-12-01,0.5,0.9654471544715448,0.9590163934426229
2022-01-01,0.5,0.9596883468834689,0.9521857923497267
2022-02-01,0.625,0.953929539295393,0.9453551912568307
2022-03-01,0.75,0.9481707317073171,0.9385245901639344
2022-04-01,0.875,0.9424119241192412,0.9316939890710382
2022-05-01,0.75,0.9366531165311656,0.9248633879781422
2022-06-01,0.5,0.9308943089430894,0.9180327868852459
2022-07-01,0.25,0.9298780487804879,0.9173497267759562
2022-08-01,0.25,0.9288617886178863,0.9166666666666669
2022-09-01,0.5,0.9278455284552847,0.9159836065573771
2022-10-01,0.875,0.9268292682926831,0.9153005464480873
2022-11-01,1.0,0.9258130081300813,0.914617486338798
2022-12-01,0.75,0.9247967479674797,0.9139344262295083
2023-01-01,0.875,0.9237804878048781,0.9132513661202185
2023-02-01,0.875,0.9227642276422765,0.9125683060109292
2023-03-01,0.75,0.9217479674796749,0.9118852459016394
2023-04-01,0.75,0.9207317073170733,0.9112021857923497
2023-05-01,0.75,0.9197154471544715,0.9105191256830601
2023-06-01,0.5,0.9186991869918699,0.9098360655737706
2023-07-01,0.375,0.8668699186991871,0.8613387978142079
2023-08-01,0.25,0.8150406504065042,0.8128415300546449
2023-09-01,0.5,0.7632113821138211,0.7643442622950819
2023-10-01,0.875,0.7113821138211383,0.7158469945355191
2023-11-01,0.875,0.6595528455284554,0.6673497267759562
2023-12-01,0.625,0.6077235772357723,0.6188524590163934
2024-01-01,0.75,0.5558943089430894,0.5703551912568305
2024-02-01,0.875,0.5040650406504066,0.5218579234972677
2024-03-01,0.75,0.4522357723577236,0.4733606557377049
2024-04-01,0.875,0.40040650406504064,0.42486338797814205
2024-05-01,0.75,0.3485772357723578,0.3763661202185792
2024-06-01,0.375,0.2967479674796748,0.3278688524590164
2024-07-01,0.25,0.2720189701897019,0.3005464480874318
2024-08-01,0.125,0.24728997289972898,0.27322404371584696
2024-09-01,0.375,0.22256097560975607,0.24590163934426235
2024-10-01,0.75,0.19783197831978316,0.21857923497267762
2024-11-01,0.5,0.17310298102981037,0.1912568306010929
2024-12-01,0.25,0.14837398373983735,0.16393442622950816
2025-01-01,0.5,0.12364498644986455,0.13661202185792343
2025-02-01,0.5,0.09891598915989164,0.10928961748633881
2025-03-01,0.375,0.07418699186991873,0.08196721311475408
2025-04-01,0.125,0.04945799457994582,0.054644808743169404
2025-05-01,0.125,0.02472899728997291,0.027322404371584674
2025-06-01,0.0,0.0,0.0
2025-07-01,0.0,0.0,0.0
2025-08-01,0.0,0.0,0.0
2025-09-01,0.0,0.0,0.0
2025-10-01,0.125,0.0,0.0
2025-11-01,0.125,0.0,0.0
2025-12-01,0.0,0.0,0.0
2026-01-01,0.125,0.0,0.0
2026-02-01,0.0,0.0,0.0
2026-03-01,0.0,0.0,0.0
