Year,Trends,Uso %,Deseo %
2021-04-01,8,,
2021-05-01,8,,
2021-06-01,6,26.3,12.3
2021-07-01,5,26.2525,12.265
2021-08-01,6,26.205000000000002,12.23
2021-09-01,7,26.1575,12.195
2021-10-01,7,26.11,12.16
2021-11-01,10,26.0625,12.125
2021-12-01,7,26.015,12.09
2022-01-01,7,25.9675,12.055000000000001
2022-02-01,8,25.92,12.020000000000001
2022-03-01,9,25.872500000000002,11.985000000000001
2022-04-01,10,25.825,11.950000000000001
2022-05-01,9,25.7775,11.915000000000001
2022-06-01,7,25.73,11.88
2022-07-01,5,25.57,11.808333333333334
2022-08-01,5,25.41,11.736666666666668
2022-09-01,7,25.25,11.665000000000001
2022-10-01,10,25.09,11.593333333333334
2022-11-01,11,24.93,11.521666666666667
2022-12-01,9,24.77,11.45
2023-01-01,10,24.61,11.378333333333334
2023-02-01,10,24.45,11.306666666666667
2023-03-01,9,24.29,11.235
2023-04-01,9,24.13,11.163333333333334
2023-05-01,9,23.97,11.091666666666667
2023-06-01,7,23.81,11.02
2023-07-01,6,23.606666666666666,10.924166666666666
2023-08-01,5,23.403333333333332,10.828333333333333
2023-09-01,7,23.2,10.7325
2023-10-01,10,22.996666666666666,10.636666666666667
2023-11-01,10,22.793333333333333,10.540833333333333
2023-12-01,8,22.59,10.445
2024-01-01,9,22.386666666666667,10.349166666666665
2024-02-01,10,22.183333333333334,10.253333333333332
2024-03-01,9,21.98,10.157499999999999
2024-04-01,10,21.776666666666667,10.061666666666666
2024-05-01,9,21.573333333333334,9.965833333333332
2024-06-01,6,21.37,9.87
2024-07-01,5,21.370833333333334,9.78
2024-08-01,4,21.371666666666666,9.69
2024-09-01,6,21.372500000000002,9.6
2024-10-01,9,21.373333333333335,9.51
2024-11-01,7,21.374166666666667,9.42
2024-12-01,5,21.375,9.329999999999998
2025-01-01,7,21.375833333333333,9.239999999999998
2025-02-01,7,21.376666666666665,9.149999999999999
2025-03-01,6,21.377499999999998,9.059999999999999
2025-04-01,4,21.378333333333334,8.969999999999999
2025-05-01,4,21.379166666666666,8.879999999999999
2025-06-01,3,21.38,8.79
2025-07-01,3,21.38,8.79
2025-08-01,3,21.38,8.79
2025-09-01,3,21.38,8.79
2025-10-01,4,21.38,8.79
2025-11-01,4,21.38,8.79
2025-12-01,3,21.38,8.79
2026-01-01,4,21.38,8.79
2026-02-01,3,21.38,8.79
2026-03-01,3,21.38,8.79
