Time,Google_Trends,Uso,Deseo
2021-04-01,28,,
2021-05-01,25,,
2021-06-01,27,629.0,600.0
2021-07-01,25,629.0,600.0
2021-08-01,24,629.0,600.0
2021-09-01,22,629.0,600.0
2021-10-01,33,629.0,600.0
2021-11-01,31,629.0,600.0
2021-12-01,27,629.0,600.0
2022-01-01,27,629.0,600.0
2022-02-01,27,629.0,600.0
2022-03-01,30,629.0,600.0
2022-04-01,30,629.0,600.0
2022-05-01,34,629.0,600.0
2022-06-01,35,614.0,556.0
2022-07-01,33,614.0,556.0
2022-08-01,29,614.0,556.0
2022-09-01,38,614.0,556.0
2022-10-01,47,614.0,556.0
2022-11-01,52,614.0,556.0
2022-12-01,43,614.0,556.0
2023-01-01,51,614.0,556.0
2023-02-01,58,614.0,556.0
2023-03-01,48,614.0,556.0
2023-04-01,46,614.0,556.0
2023-05-01,45,614.0,556.0
2023-06-01,37,627.0,537.0
2023-07-01,34,627.0,537.0
2023-08-01,33,627.0,537.0
2023-09-01,43,627.0,537.0
2023-10-01,49,627.0,537.0
2023-11-01,50,627.0,537.0
2023-12-01,42,627.0,537.0
2024-01-01,46,627.0,537.0
2024-02-01,46,627.0,537.0
2024-03-01,48,627.0,537.0
2024-04-01,60,627.0,537.0
2024-05-01,45,627.0,537.0
2024-06-01,40,422.0,399.0
2024-07-01,33,422.0,399.0
2024-08-01,32,422.0,399.0
2024-09-01,44,422.0,399.0
2024-10-01,48,422.0,399.0
2024-11-01,41,422.0,399.0
2024-12-01,35,422.0,399.0
2025-01-01,39,422.0,399.0
2025-02-01,43,422.0,399.0
2025-03-01,36,422.0,399.0
2025-04-01,32,422.0,399.0
2025-05-01,30,422.0,399.0
2025-06-01,29,309.0,199.0
2025-07-01,25,309.0,199.0
2025-08-01,21,309.0,199.0
2025-09-01,26,309.0,199.0
2025-10-01,32,309.0,199.0
2025-11-01,31,309.0,199.0
2025-12-01,30,309.0,199.0
2026-01-01,31,309.0,199.0
2026-02-01,34,309.0,199.0
2026-03-01,25,309.0,199.0
