Year,Trends,Uso_pct,Deseo_pct
2021-04-01,28,,
2021-05-01,25,,
2021-06-01,27,44.71,42.64
2021-07-01,25,44.71333333333333,42.46333333333333
2021-08-01,24,44.71666666666667,42.28666666666667
2021-09-01,22,44.72,42.11
2021-10-01,33,44.723333333333336,41.93333333333334
2021-11-01,31,44.72666666666667,41.75666666666667
2021-12-01,27,44.730000000000004,41.58
2022-01-01,27,44.733333333333334,41.403333333333336
2022-02-01,27,44.736666666666665,41.22666666666667
2022-03-01,30,44.74,41.050000000000004
2022-04-01,30,44.74333333333333,40.873333333333335
2022-05-01,34,44.74666666666667,40.69666666666667
2022-06-01,35,44.75,40.52
2022-07-01,33,44.575,40.1875
2022-08-01,29,44.4,39.855000000000004
2022-09-01,38,44.225,39.5225
2022-10-01,47,44.05,39.190000000000005
2022-11-01,52,43.875,38.8575
2022-12-01,43,43.7,38.525000000000006
2023-01-01,51,43.525,38.1925
2023-02-01,58,43.35,37.86
2023-03-01,48,43.175,37.5275
2023-04-01,46,43.0,37.195
2023-05-01,45,42.824999999999996,36.862500000000004
2023-06-01,37,42.65,36.53
2023-07-01,34,42.91,37.0925
2023-08-01,33,43.17,37.655
2023-09-01,43,43.43,38.2175
2023-10-01,49,43.69,38.78
2023-11-01,50,43.95,39.3425
2023-12-01,42,44.21,39.905
2024-01-01,46,44.47,40.4675
2024-02-01,46,44.730000000000004,41.03
2024-03-01,48,44.99,41.5925
2024-04-01,60,45.25,42.155
2024-05-01,45,45.510000000000005,42.7175
2024-06-01,40,45.77,43.28
2024-07-01,33,46.395833333333336,42.5325
2024-08-01,32,47.02166666666667,41.785000000000004
2024-09-01,44,47.6475,41.0375
2024-10-01,48,48.27333333333333,40.29
2024-11-01,41,48.899166666666666,39.542500000000004
2024-12-01,35,49.525000000000006,38.795
2025-01-01,39,50.15083333333334,38.0475
2025-02-01,43,50.77666666666667,37.300000000000004
2025-03-01,36,51.4025,36.5525
2025-04-01,32,52.028333333333336,35.805
2025-05-01,30,52.65416666666667,35.057500000000005
2025-06-01,29,53.28,34.31
2025-07-01,25,53.28,34.31
2025-08-01,21,53.28,34.31
2025-09-01,26,53.28,34.31
2025-10-01,32,53.28,34.31
2025-11-01,31,53.28,34.31
2025-12-01,30,53.28,34.31
2026-01-01,31,53.28,34.31
2026-02-01,34,53.28,34.31
2026-03-01,25,53.28,34.31
