Time,Google Trends,Uso,Deseo
2021-04-01,0,,
2021-05-01,0,,
2021-06-01,0,440.0,442.0
2021-07-01,0,440.0,442.0
2021-08-01,0,440.0,442.0
2021-09-01,0,440.0,442.0
2021-10-01,0,440.0,442.0
2021-11-01,0,440.0,442.0
2021-12-01,0,440.0,442.0
2022-01-01,0,440.0,442.0
2022-02-01,0,440.0,442.0
2022-03-01,0,440.0,442.0
2022-04-01,0,440.0,442.0
2022-05-01,2,440.0,442.0
2022-06-01,2,493.0,501.0
2022-07-01,1,493.0,501.0
2022-08-01,2,493.0,501.0
2022-09-01,2,493.0,501.0
2022-10-01,2,493.0,501.0
2022-11-01,3,493.0,501.0
2022-12-01,2,493.0,501.0
2023-01-01,2,493.0,501.0
2023-02-01,3,493.0,501.0
2023-03-01,2,493.0,501.0
2023-04-01,3,493.0,501.0
2023-05-01,2,493.0,501.0
2023-06-01,3,545.0,494.0
2023-07-01,2,545.0,494.0
2023-08-01,2,545.0,494.0
2023-09-01,2,545.0,494.0
2023-10-01,3,545.0,494.0
2023-11-01,3,545.0,494.0
2023-12-01,2,545.0,494.0
2024-01-01,2,545.0,494.0
2024-02-01,3,545.0,494.0
2024-03-01,2,545.0,494.0
2024-04-01,3,545.0,494.0
2024-05-01,2,545.0,494.0
2024-06-01,2,353.0,316.0
2024-07-01,2,353.0,316.0
2024-08-01,1,353.0,316.0
2024-09-01,2,353.0,316.0
2024-10-01,2,353.0,316.0
2024-11-01,2,353.0,316.0
2024-12-01,2,353.0,316.0
2025-01-01,2,353.0,316.0
2025-02-01,2,353.0,316.0
2025-03-01,2,353.0,316.0
2025-04-01,2,353.0,316.0
2025-05-01,2,353.0,316.0
2025-06-01,1,243.0,172.0
2025-07-01,1,243.0,172.0
2025-08-01,1,243.0,172.0
2025-09-01,2,243.0,172.0
2025-10-01,1,243.0,172.0
2025-11-01,1,243.0,172.0
2025-12-01,1,243.0,172.0
2026-01-01,1,243.0,172.0
2026-02-01,1,243.0,172.0
2026-03-01,1,243.0,172.0
