Lenguajes_uso,2021,2022,2023,2024,2025
Bash/Shell,43239.0,48075.0,54080.5,53703.0,63808.0
C#,38915.0,42657.0,44978.0,42962.0,60328.0
C++,37834.0,46621.5,47654.5,38666.0,57949.5
HTML/CSS,37834.0,42657.0,46049.0,42962.0,60328.0
Java,37834.0,44630.0,46049.0,48333.0,58007.0
JavaScript,38916.0,45857.0,48190.0,48333.0,63808.0
PHP,34591.0,41591.0,44978.0,38666.0,52207.0
Python,41347.5,47990.0,53545.0,51286.5,69029.0
SQL,39996.0,45857.0,48190.0,48333.0,63808.0
TypeScript,41077.0,47990.0,51403.0,48333.0,66128.0
